Event_Number,Event_Date,Event_Return,Entry_Date,Entry_Price,Holding_Period,Exit_Date,Exit_Price,Forward_Return
117,2012-03-22,-0.025442920256606216,2012-03-23,5255.64990234375,1,2012-03-23,5278.2001953125,0.004290676393549964
117,2012-03-22,-0.025442920256606216,2012-03-23,5255.64990234375,3,2012-03-27,5243.14990234375,-0.002378392821490216
117,2012-03-22,-0.025442920256606216,2012-03-23,5255.64990234375,5,2012-03-29,5178.85009765625,-0.014612808332847949
118,2012-05-08,-0.02233014464024874,2012-05-09,4967.89990234375,1,2012-05-09,4974.7998046875,0.0013888972160036595
118,2012-05-08,-0.02233014464024874,2012-05-09,4967.89990234375,3,2012-05-11,4928.89990234375,-0.007850399719527501
118,2012-05-08,-0.02233014464024874,2012-05-09,4967.89990234375,5,2012-05-15,4942.7998046875,-0.005052456400018945
119,2013-05-23,-0.020912330020920522,2013-05-24,6010.7001953125,1,2013-05-24,5983.5498046875,-0.004517009623300372
119,2013-05-23,-0.020912330020920522,2013-05-24,6010.7001953125,3,2013-05-28,6111.25,0.016728467802455738
119,2013-05-23,-0.020912330020920522,2013-05-24,6010.7001953125,5,2013-05-30,6124.0498046875,0.018857970900527876
120,2013-05-31,-0.022550373328005135,2013-06-03,5997.35009765625,1,2013-06-03,5939.2998046875,-0.0096793237052204
120,2013-05-31,-0.022550373328005135,2013-06-03,5997.35009765625,3,2013-06-05,5923.85009765625,-0.012255412607765526
120,2013-05-31,-0.022550373328005135,2013-06-03,5997.35009765625,5,2013-06-07,5881.0,-0.01940025107117216
121,2013-06-20,-0.028571445344368618,2013-06-21,5639.89990234375,1,2013-06-21,5667.64990234375,0.0049203000905153615
121,2013-06-20,-0.028571445344368618,2013-06-21,5639.89990234375,3,2013-06-25,5609.10009765625,-0.005461055199703191
121,2013-06-20,-0.028571445344368618,2013-06-21,5639.89990234375,5,2013-06-27,5682.35009765625,0.007526763958143778
122,2013-08-06,-0.025178510712102753,2013-08-07,5549.2998046875,1,2013-08-07,5519.10009765625,-0.005442075233661026
122,2013-08-06,-0.025178510712102753,2013-08-07,5549.2998046875,3,2013-08-12,5612.39990234375,0.011370821522915353
122,2013-08-06,-0.025178510712102753,2013-08-07,5549.2998046875,5,2013-08-14,5742.2998046875,0.03477916255974711
123,2013-08-16,-0.04082853821736476,2013-08-19,5497.5498046875,1,2013-08-19,5414.75,-0.015061219566742334
